section,clause_number,clause_text,requirement_type
Design and manufacture in accordance with essential safety requirements,9.1,"Before placing pressure equipment or an assembly referred to in regulation 6 or 7 on the market or using it for their own purposes, a manufacturer must ensure that it has been designed and manufactured in accordance with the essential safety requirements.",must
Design and manufacture in accordance with essential safety requirements,9.2,"Before placing pressure equipment or an assembly referred to in regulation 8 on the market or using it for their own purposes, a manufacturer must ensure that it complies with regulation 8(2).",must
